,m,n,pyearth,earth,time,forward_iterations,rsq
459,500,1000,1,0,5.44718885422,3,1.0
460,1000,1000,0,1,6.055,4,0.996837700312
461,1000,1000,1,0,8.71472597122,3,1.0
462,1000,1000,0,1,6.597,3,0.997879847335
463,1000,1000,1,0,8.0512650013,3,1.0
464,1500,1000,0,1,13.424,4,0.994615181044
465,1500,1000,1,0,11.519359827,3,1.0
466,1500,1000,0,1,9.191,4,0.995722240834
467,1500,1000,1,0,12.2761509418,3,1.0
468,2000,1000,0,1,18.418,4,0.998685658501
469,2000,1000,1,0,16.8335931301,3,1.0
470,2000,1000,0,1,27.22,3,0.997196951998
471,2000,1000,1,0,12.1268332005,3,1.0
472,2500,1000,0,1,9.837,3,0.993708011182
473,2500,1000,1,0,14.2881579399,3,1.0
474,2500,1000,0,1,9.146,3,0.993641792263
475,2500,1000,1,0,13.1124880314,3,1.0
476,5000,1000,0,1,35.972,3,0.995292328353
477,5000,1000,1,0,31.3695991039,3,1.0
478,5000,1000,0,1,65.415,4,0.997171331411
479,5000,1000,1,0,33.1721611023,3,1.0
480,10000,1000,0,1,88.074,3,0.997268790123
481,10000,1000,1,0,77.5149590969,3,1.0
482,10000,1000,0,1,54.842,3,0.993366550495
483,10000,1000,1,0,77.0977909565,3,1.0
