,m,n,pyearth,earth,time,forward_iterations,rsq
392,5000,50,0,1,3.09,9,0.993828516032
393,5000,50,1,0,1.32681393623,4,0.979929163015
394,5000,50,0,1,7.877,14,0.988635018395
395,5000,50,1,0,1.32127690315,4,0.812894523798
396,5000,50,0,1,1.691,7,0.981967363598
397,5000,50,1,0,1.31927204132,4,0.947063817828
398,5000,50,0,1,50.266,49,0.137404119248
399,5000,50,1,0,1.78061890602,5,0.0376057451547
400,100,100,0,1,0.432,19,0.976506844487
401,100,100,1,0,0.501553058624,5,0.823744095873
402,100,100,0,1,0.155,10,0.994838826318
403,100,100,1,0,0.410701990128,5,0.955036888088
404,100,100,0,1,0.335,16,0.980704344402
405,100,100,1,0,0.521971940994,5,0.947650844639
406,100,100,0,1,0.327,16,0.992725370042
407,100,100,1,0,0.444015026093,5,0.903061647383
408,100,100,0,1,0.235,12,0.993386465763
409,100,100,1,0,0.353180170059,5,0.864611280616
410,200,100,0,1,0.348,11,0.988960193557
411,200,100,1,0,0.537618160248,6,0.747144520139
412,200,100,0,1,1.048,22,0.98959812936
413,200,100,1,0,0.501492977142,5,0.873807076545
414,200,100,0,1,2.474,38,0.932132687838
415,200,100,1,0,0.363232851028,4,0.430070501167
416,200,100,0,1,1.172,24,0.980584552869
417,200,100,1,0,0.560782909393,5,0.625439052791
418,200,100,0,1,1.149,24,0.982439158071
419,200,100,1,0,0.437243938446,5,0.641058197532
420,300,100,0,1,0.662,12,0.987096799659
421,300,100,1,0,0.607000112534,5,0.888029126057
422,300,100,0,1,0.118,4,0.980944796516
423,300,100,1,0,0.639225006104,5,0.979664020268
424,300,100,0,1,0.237,7,0.993828090928
425,300,100,1,0,0.649002075195,5,0.983101919231
426,300,100,0,1,6.981,55,0.975888550393
427,300,100,1,0,0.399853944778,4,0.707445408277
428,300,100,0,1,2.345,28,0.990166269608
429,300,100,1,0,0.716939926147,6,0.696132060176
430,400,100,0,1,0.318,7,0.989926382813
431,400,100,1,0,0.463628053665,4,0.988934212161
432,400,100,0,1,3.444,30,0.986721536982
433,400,100,1,0,0.622245073318,5,0.66991612867
434,400,100,0,1,0.109,3,0.968748402699
435,400,100,1,0,0.452161073685,4,0.968123093364
436,400,100,0,1,14.158,73,0.852115941439
437,400,100,1,0,0.549393892288,5,0.0268489405528
438,400,100,0,1,0.126,3,0.988378608076
439,400,100,1,0,0.21574306488,3,0.9877805494
440,500,100,0,1,29.705,95,0.923064940831
441,500,100,1,0,0.447414159775,4,0.229895782762
442,500,100,0,1,0.108,2,0.991274214679
443,500,100,1,0,0.496606111526,4,0.993169781146
444,500,100,0,1,2.728,23,0.967699452919
445,500,100,1,0,0.735168933868,5,0.861973817833
446,500,100,0,1,0.718,10,0.994199561015
447,500,100,1,0,0.506821870804,4,0.966364230539
448,500,100,0,1,0.963,13,0.991526561082
449,500,100,1,0,0.499392032623,4,0.971186355267
450,1000,100,0,1,5.787,23,0.986382924156
451,1000,100,1,0,0.700264930725,4,0.703357197416
452,1000,100,0,1,0.301,4,0.973545238557
453,1000,100,1,0,0.707153081894,4,0.974146404994
454,1000,100,0,1,2.618,15,0.92022154222
455,1000,100,1,0,0.707046985626,4,0.907988249897
456,1000,100,0,1,0.883,8,0.980825862062
457,1000,100,1,0,0.67967915535,4,0.969634966335
458,1000,100,0,1,0.87,7,0.994623572138
459,1000,100,1,0,0.683216094971,4,0.903208318013
460,1500,100,0,1,0.201,2,0.95184974567
461,1500,100,1,0,0.498204946518,3,0.95238817104
462,1500,100,0,1,0.201,2,0.926829122843
463,1500,100,1,0,0.219280958176,2,0.926664256583
464,1500,100,0,1,1.311,8,0.996472601547
465,1500,100,1,0,1.40563201904,5,0.990721208401
466,1500,100,0,1,3.558,13,0.976070286056
467,1500,100,1,0,1.34720301628,5,0.895959793315
468,1500,100,0,1,4.103,15,0.954384103165
