,m,n,pyearth,earth,time,forward_iterations,rsq
0,100,10,0,1,0.02,4,0.992770767066
1,100,10,1,0,0.041384935379,4,0.99218269412
2,100,10,0,1,0.015,9,0.994127545875
3,100,10,1,0,0.0750770568848,5,0.983816278548
4,100,10,0,1,0.006,2,0.994871955915
5,100,10,1,0,0.0321671962738,4,0.994944877583
6,100,10,0,1,0.016,10,0.254040762415
7,100,10,1,0,0.0824701786041,8,1.11022302463e-16
8,100,10,0,1,0.015,9,0.991059500775
9,100,10,1,0,0.0611340999603,5,0.909386144268
10,200,10,0,1,0.026,10,0.979494555788
11,200,10,1,0,0.0455911159515,4,0.926706662019
12,200,10,0,1,0.007,2,0.978089011051
13,200,10,1,0,0.00924301147461,2,0.977339449404
14,200,10,0,1,0.026,10,0.919162018516
15,200,10,1,0,0.0470530986786,4,0.590944647645
16,200,10,0,1,0.026,9,0.994323730688
17,200,10,1,0,0.0540499687195,4,0.967670937074
18,200,10,0,1,0.017,7,0.994149607566
19,200,10,1,0,0.0502891540527,4,0.97651204381
20,300,10,0,1,0.039,8,0.975841476794
21,300,10,1,0,0.0490958690643,4,0.905649351464
22,300,10,0,1,0.027,6,0.994467146986
23,300,10,1,0,0.0797939300537,5,0.979872328593
24,300,10,0,1,0.009,2,0.970649911336
25,300,10,1,0,0.0309700965881,3,0.969611848042
26,300,10,0,1,0.019,6,0.989616273233
27,300,10,1,0,0.0799720287323,5,0.986895217088
28,300,10,0,1,0.034,10,0.987586443862
29,300,10,1,0,0.0671360492706,5,0.96619208073
30,400,10,0,1,0.009,2,0.994185475067
31,400,10,1,0,0.0290949344635,3,0.994094229187
32,400,10,0,1,0.044,9,0.955091627654
33,400,10,1,0,0.0550100803375,4,0.899589197925
34,400,10,0,1,0.043,9,0.984726356838
35,400,10,1,0,0.0528519153595,4,0.966565663815
36,400,10,0,1,0.045,10,0.946100112355
37,400,10,1,0,0.0546269416809,4,0.808192378201
38,400,10,0,1,0.011,3,0.95540140211
39,400,10,1,0,0.0288939476013,3,0.954321270473
40,500,10,0,1,0.055,10,0.937102133974
41,500,10,1,0,0.0612640380859,4,0.716342142308
42,500,10,0,1,0.052,9,0.996025827302
43,500,10,1,0,0.0628910064697,4,0.828274000908
44,500,10,0,1,0.042,8,0.991023879906
45,500,10,1,0,0.0912551879883,5,0.986034109884
46,500,10,0,1,0.042,7,0.97467265131
47,500,10,1,0,0.0621421337128,4,0.884792331955
48,500,10,0,1,0.055,10,0.980177632442
49,500,10,1,0,0.0631749629974,4,0.616973623653
50,1000,10,0,1,0.016,2,0.988642880565
51,1000,10,1,0,0.0795118808746,4,0.99173096907
52,1000,10,0,1,0.106,10,0.933389403891
53,1000,10,1,0,0.0843629837036,4,0.814734098573
54,1000,10,0,1,0.023,3,0.997780233769
55,1000,10,1,0,0.0787408351898,4,0.959336830527
56,1000,10,0,1,0.088,10,0.0636580840198
57,1000,10,1,0,0.138663053513,6,6.66133814775e-16
58,1000,10,0,1,0.029,4,0.930863881054
59,1000,10,1,0,0.042778968811,3,0.933269583007
60,1500,10,0,1,0.087,6,0.909997537415
61,1500,10,1,0,0.104152917862,4,0.904258349995
62,1500,10,0,1,0.153,10,0.0812751900404
63,1500,10,1,0,0.169810056686,6,0.0565365725097
64,1500,10,0,1,0.115,9,0.0980293900671
65,1500,10,1,0,0.103952169418,4,0.0783530706027
66,1500,10,0,1,0.144,9,0.619005775775
67,1500,10,1,0,0.147745132446,5,0.449270175647
68,1500,10,0,1,0.097,7,0.994655933671
69,1500,10,1,0,0.103132009506,4,0.990763001815
70,2000,10,0,1,0.076,5,0.980165088607
71,2000,10,1,0,0.126498937607,4,0.975305419383
72,2000,10,0,1,0.145,7,0.98458450886
73,2000,10,1,0,0.12683391571,4,0.923228631144
74,2000,10,0,1,0.127,7,0.982417447755
75,2000,10,1,0,0.130203962326,4,0.959861283199
76,2000,10,0,1,0.018,1,0.990078832599
77,2000,10,1,0,0.0319709777832,2,0.990125594424
78,2000,10,0,1,0.026,2,0.95354508786
79,2000,10,1,0,0.0705368518829,3,0.953950723814
80,2500,10,0,1,0.049,3,0.990391596508
81,2500,10,1,0,0.15336894989,4,0.992193800908
82,2500,10,0,1,0.091,5,0.98647594283
83,2500,10,1,0,0.148212909698,4,0.984699693058
84,2500,10,0,1,0.048,3,0.988256134218
85,2500,10,1,0,0.149911880493,4,0.988449216649
86,2500,10,0,1,0.243,9,0.977376423183
