,m,n,pyearth,earth,time,forward_iterations,rsq
466,300,50,0,1,0.076,4,0.994114075248
467,300,50,1,0,0.143798112869,3,1.0
468,300,50,0,1,0.066,3,0.994331458993
469,300,50,1,0,0.147823810577,3,1.0
470,400,50,0,1,0.093,3,0.998047836053
471,400,50,1,0,0.166323184967,3,1.0
472,400,50,0,1,0.093,3,0.997523180501
473,400,50,1,0,0.162636995316,3,1.0
474,400,50,0,1,0.111,4,0.996050371967
475,400,50,1,0,0.163670063019,3,1.0
476,400,50,0,1,0.091,3,0.998338815554
477,400,50,1,0,0.16531920433,3,1.0
478,400,50,0,1,0.109,5,0.998031828458
479,400,50,1,0,0.166749954224,3,1.0
480,500,50,0,1,0.144,4,0.99843289648
481,500,50,1,0,0.186142206192,3,1.0
482,500,50,0,1,0.108,3,0.998533066427
483,500,50,1,0,0.188744068146,3,1.0
484,500,50,0,1,0.073,2,0.995370145341
485,500,50,1,0,0.189800977707,3,1.0
486,500,50,0,1,0.073,2,0.993822021078
487,500,50,1,0,0.192310810089,3,1.0
488,500,50,0,1,0.086,3,0.994554098183
489,500,50,1,0,0.194777965546,3,1.0
490,1000,50,0,1,0.202,3,0.995976220457
491,1000,50,1,0,0.296283960342,3,1.0
492,1000,50,0,1,0.161,3,0.993819572302
493,1000,50,1,0,0.293423891068,3,1.0
494,1000,50,0,1,0.209,3,0.997714637579
495,1000,50,1,0,0.293532848358,3,1.0
496,1000,50,0,1,0.162,3,0.994051947893
497,1000,50,1,0,0.296979904175,3,1.0
498,1000,50,0,1,0.203,3,0.997028734598
499,1000,50,1,0,0.289964914322,3,1.0
500,1500,50,0,1,0.242,3,0.993833040597
501,1500,50,1,0,0.402319192886,3,1.0
502,1500,50,0,1,0.293,3,0.996665748358
503,1500,50,1,0,0.401895999908,3,1.0
504,1500,50,0,1,0.298,3,0.99782015247
505,1500,50,1,0,0.396078109741,3,1.0
506,1500,50,0,1,0.237,3,0.994645543721
507,1500,50,1,0,0.398205041885,3,1.0
508,1500,50,0,1,0.372,4,0.997776703502
509,1500,50,1,0,0.401604175568,3,1.0
510,2000,50,0,1,0.402,3,0.997886776784
511,2000,50,1,0,0.523903131485,3,1.0
512,2000,50,0,1,0.438,3,0.996420615385
513,2000,50,1,0,0.520069122314,3,1.0
514,2000,50,0,1,0.319,3,0.993129387963
515,2000,50,1,0,0.516740083694,3,1.0
516,2000,50,0,1,0.408,3,0.996589413962
517,2000,50,1,0,0.51930308342,3,1.0
518,2000,50,0,1,0.409,3,0.997192927566
519,2000,50,1,0,0.527795791626,3,1.0
520,2500,50,0,1,0.628,4,0.996781370788
521,2500,50,1,0,0.631367921829,3,1.0
522,2500,50,0,1,0.501,3,0.995609967668
523,2500,50,1,0,0.636735200882,3,1.0
524,2500,50,0,1,0.545,3,0.996609899342
525,2500,50,1,0,0.618686914444,3,1.0
526,2500,50,0,1,0.515,3,0.997474223939
527,2500,50,1,0,0.649942874908,3,1.0
528,2500,50,0,1,0.4,3,0.994418621491
529,2500,50,1,0,0.665694952011,3,1.0
530,5000,50,0,1,0.915,3,0.993890667294
531,5000,50,1,0,1.21000385284,3,1.0
532,5000,50,0,1,1.118,3,0.996045017766
533,5000,50,1,0,1.26247406006,3,1.0
534,5000,50,0,1,0.867,3,0.994274356889
535,5000,50,1,0,1.23135113716,3,1.0
536,5000,50,0,1,1.11,3,0.996919257364
537,5000,50,1,0,1.22183704376,3,1.0
538,5000,50,0,1,1.102,3,0.995397384976
539,5000,50,1,0,1.23380112648,3,1.0
540,10000,50,0,1,2.919,3,0.997373673853
541,10000,50,1,0,3.11847496033,3,1.0
542,10000,50,0,1,2.839,3,0.996636711253
543,10000,50,1,0,3.17637300491,3,1.0
544,10000,50,0,1,2.11,3,0.993439619759
545,10000,50,1,0,3.13882017136,3,1.0
546,10000,50,0,1,2.744,3,0.996275590724
547,10000,50,1,0,3.13083481789,3,1.0
548,10000,50,0,1,2.842,3,0.996440669637
549,10000,50,1,0,3.08068108559,3,1.0
550,100,100,0,1,0.139,5,0.997267100633
551,100,100,1,0,0.201705932617,3,1.0
552,100,100,0,1,0.104,3,0.996218369603
553,100,100,1,0,0.195041894913,3,1.0
554,100,100,0,1,0.119,4,0.997583098675
555,100,100,1,0,0.193926095963,3,1.0
556,100,100,0,1,0.112,3,0.995011321671
557,100,100,1,0,0.191798210144,3,1.0
558,100,100,0,1,0.14,4,0.998449874321
559,100,100,1,0,0.192488908768,3,1.0
560,200,100,0,1,0.125,2,0.994601332915
561,200,100,1,0,0.242328166962,3,1.0
562,200,100,0,1,0.144,3,0.994627946663
563,200,100,1,0,0.235018014908,3,1.0
564,200,100,0,1,0.149,3,0.997084491629
565,200,100,1,0,0.244207859039,3,1.0
566,200,100,0,1,0.142,3,0.997685503304
567,200,100,1,0,0.237670898438,3,1.0
568,200,100,0,1,0.147,3,0.995856662757
569,200,100,1,0,0.235048055649,3,1.0
570,300,100,0,1,0.178,3,0.994455946579
571,300,100,1,0,0.284286022186,3,1.0
572,300,100,0,1,0.195,4,0.995819351211
573,300,100,1,0,0.285733938217,3,1.0
574,300,100,0,1,0.152,2,0.996089968959
575,300,100,1,0,0.279722929001,3,1.0
576,300,100,0,1,0.172,3,0.994758167224
577,300,100,1,0,0.278522014618,3,1.0
578,300,100,0,1,0.196,4,0.997116159065
579,300,100,1,0,0.278939962387,3,1.0
580,400,100,0,1,0.232,3,0.99778139098
581,400,100,1,0,0.322205066681,3,1.0
582,400,100,0,1,0.271,5,0.998345735357
583,400,100,1,0,0.333909988403,3,1.0
584,400,100,0,1,0.229,3,0.997351216732
585,400,100,1,0,0.323719978333,3,1.0
586,400,100,0,1,0.197,3,0.994776248606
587,400,100,1,0,0.319256067276,3,1.0
588,400,100,0,1,0.207,3,0.994961532665
589,400,100,1,0,0.323351144791,3,1.0
590,500,100,0,1,0.274,4,0.997498786044
591,500,100,1,0,0.360784053802,3,1.0
592,500,100,0,1,0.322,5,0.99800016661
593,500,100,1,0,0.365232229233,3,1.0
594,500,100,0,1,0.313,4,0.99844939487
595,500,100,1,0,0.360539197922,3,1.0
596,500,100,0,1,0.32,4,0.998658582461
597,500,100,1,0,0.362850904465,3,1.0
598,500,100,0,1,0.225,3,0.994689915005
599,500,100,1,0,0.367815971375,3,1.0
600,1000,100,0,1,0.491,3,0.997054882252
601,1000,100,1,0,0.614914894104,3,1.0
602,1000,100,0,1,0.458,3,0.996362984545
603,1000,100,1,0,0.587630033493,3,1.0
604,1000,100,0,1,0.379,3,0.994468984596
605,1000,100,1,0,0.582129955292,3,1.0
606,1000,100,0,1,0.555,4,0.998732435739
607,1000,100,1,0,0.575041055679,3,1.0
608,1000,100,0,1,0.456,3,0.997473264512
609,1000,100,1,0,0.583677053452,3,1.0
610,1500,100,0,1,0.67,3,0.997283816706
611,1500,100,1,0,0.782437801361,3,1.0
612,1500,100,0,1,0.665,3,0.996131660563
613,1500,100,1,0,0.793367147446,3,1.0
614,1500,100,0,1,0.825,4,0.998607762294
