,m,n,pyearth,earth,time,forward_iterations,rsq
135,100,40,1,0,0.0711169242859,3,1.0
136,200,40,0,1,0.031,2,0.996041843039
137,200,40,1,0,0.102674007416,3,1.0
138,200,40,0,1,0.034,2,0.995211124252
139,200,40,1,0,0.0932610034943,3,1.0
140,300,40,0,1,0.076,4,0.998565217035
141,300,40,1,0,0.093386888504,3,1.0
142,300,40,0,1,0.047,3,0.995441160545
143,300,40,1,0,0.0946400165558,3,1.0
144,400,40,0,1,0.06,3,0.994187333141
145,400,40,1,0,0.116692066193,3,1.0
146,400,40,0,1,0.073,4,0.99793808027
147,400,40,1,0,0.107055902481,3,1.0
148,500,40,0,1,0.095,4,0.994507881511
149,500,40,1,0,0.157850980759,3,1.0
150,500,40,0,1,0.107,4,0.996821556142
151,500,40,1,0,0.114153146744,3,1.0
152,1000,40,0,1,0.165,3,0.997412174044
153,1000,40,1,0,0.170903921127,3,1.0
154,1000,40,0,1,0.13,3,0.995286581159
155,1000,40,1,0,0.174755096436,3,1.0
156,1500,40,0,1,0.194,3,0.991549381754
157,1500,40,1,0,0.227251768112,3,1.0
158,1500,40,0,1,0.256,3,0.997555221598
159,1500,40,1,0,0.252949953079,3,1.0
160,2000,40,0,1,0.343,3,0.996751427282
161,2000,40,1,0,0.282920122147,3,1.0
162,2000,40,0,1,0.327,3,0.99759240354
163,2000,40,1,0,0.357660055161,3,1.0
164,2500,40,0,1,0.336,3,0.992971153954
165,2500,40,1,0,0.356892824173,3,1.0
166,2500,40,0,1,0.432,3,0.995952648198
167,2500,40,1,0,0.553951025009,3,1.0
168,5000,40,0,1,0.978,3,0.995588945128
169,5000,40,1,0,0.924406051636,3,1.0
170,5000,40,0,1,0.767,3,0.994141179158
171,5000,40,1,0,0.783958911896,3,1.0
172,10000,40,0,1,2.626,3,0.996235314153
173,10000,40,1,0,2.01783108711,3,1.0
174,10000,40,0,1,2.485,3,0.99547398508
175,10000,40,1,0,2.08313703537,3,1.0
176,100,50,0,1,0.032,3,0.996562848726
177,100,50,1,0,0.087504863739,3,1.0
178,100,50,0,1,0.035,4,0.997308832778
179,100,50,1,0,0.0891451835632,3,1.0
180,200,50,0,1,0.039,2,0.993918665975
181,200,50,1,0,0.107857942581,3,1.0
182,200,50,0,1,0.039,2,0.995401548642
183,200,50,1,0,0.102431058884,3,1.0
184,300,50,0,1,0.088,4,0.998559227631
185,300,50,1,0,0.117053031921,3,1.0
186,300,50,0,1,0.086,4,0.998616666846
187,300,50,1,0,0.120595216751,3,1.0
188,400,50,0,1,0.075,3,0.994337897567
189,400,50,1,0,0.132745027542,3,1.0
190,400,50,0,1,0.092,4,0.997510083797
191,400,50,1,0,0.134080886841,3,1.0
192,500,50,0,1,0.136,4,0.997053336083
193,500,50,1,0,0.148298978806,3,1.0
194,500,50,0,1,0.11,3,0.998512206894
195,500,50,1,0,0.142549991608,3,1.0
196,1000,50,0,1,0.166,3,0.995124993212
197,1000,50,1,0,0.218921899796,3,1.0
198,1000,50,0,1,0.204,3,0.997033226647
199,1000,50,1,0,0.226781129837,3,1.0
200,1500,50,0,1,0.389,4,0.996871181463
201,1500,50,1,0,0.291838884354,3,1.0
202,1500,50,0,1,0.241,3,0.994723652676
203,1500,50,1,0,0.297919034958,3,1.0
204,2000,50,0,1,0.401,3,0.996032434159
205,2000,50,1,0,0.377143859863,3,1.0
206,2000,50,0,1,0.403,3,0.995317425457
207,2000,50,1,0,0.363070011139,3,1.0
208,2500,50,0,1,0.415,3,0.994216990102
209,2500,50,1,0,0.464833021164,3,1.0
210,2500,50,0,1,0.517,3,0.996766116158
211,2500,50,1,0,0.455122947693,3,1.0
212,5000,50,0,1,1.206,3,0.997148494402
213,5000,50,1,0,1.04613089561,3,1.0
214,5000,50,0,1,1.209,3,0.995359026608
215,5000,50,1,0,1.01239299774,3,1.0
216,10000,50,0,1,3.523,3,0.995387014851
217,10000,50,1,0,2.91652011871,3,1.0
218,10000,50,0,1,4.057,3,0.996468551301
219,10000,50,1,0,3.47469997406,3,1.0
220,100,100,0,1,0.145,6,0.996314365207
221,100,100,1,0,0.214324951172,3,1.0
222,100,100,0,1,0.138,3,0.995668544891
223,100,100,1,0,0.181517839432,3,1.0
224,200,100,0,1,0.199,5,0.998555344659
225,200,100,1,0,0.244111061096,3,1.0
226,200,100,0,1,0.145,3,0.994629915458
227,200,100,1,0,0.261283874512,3,1.0
228,300,100,0,1,0.155,2,0.995286201226
229,300,100,1,0,0.417344093323,3,1.0
230,300,100,0,1,0.197,3,0.998262625283
231,300,100,1,0,0.304229974747,3,1.0
232,400,100,0,1,0.239,3,0.998031542064
233,400,100,1,0,0.334541797638,3,1.0
234,400,100,0,1,0.459,4,0.99860055759
235,400,100,1,0,0.29307103157,3,1.0
236,500,100,0,1,0.219,2,0.993914561587
237,500,100,1,0,0.330387830734,3,1.0
238,500,100,0,1,0.272,3,0.998168612463
239,500,100,1,0,0.329822778702,3,1.0
